crop_name,grade,quantity_kg,month,region,base_price,perishability,demand_index,fair_price_kg,listing_price_kg,is_sold,days_to_sell
Potato,B,894.3,8,"Indore, Madhya Pradesh",20.0,0.2,1.1,19.7,17.21,1,3
Brinjal,B,1720.9,5,"Indore, Madhya Pradesh",22.0,0.75,1.38,26.46,30.09,0,25
Potato,A,3876.4,4,"Pune, Maharashtra",20.0,0.2,1.19,24.61,26.26,0,25
Groundnut,B,2357.5,1,"Nashik, Maharashtra",72.0,0.1,1.15,74.99,92.56,0,25
Onion,A,318.4,10,"Koyambedu, Chennai, Tamil Nadu",28.0,0.3,1.33,30.32,30.67,1,8
Cabbage,A,373.8,10,"Nashik, Maharashtra",18.0,0.6,1.23,20.7,19.75,1,5
Green Chilli,A,567.0,7,"Pune, Maharashtra",55.0,0.7,1.22,56.54,58.4,1,8
Maize,A,2503.6,8,"Nashik, Maharashtra",23.0,0.1,1.18,28.61,30.11,0,25
Potato,B,1509.6,4,"Koyambedu, Chennai, Tamil Nadu",20.0,0.2,0.98,22.96,27.17,0,25
Groundnut,B,3277.6,11,"Nashik, Maharashtra",72.0,0.1,1.05,52.37,47.33,1,2
Onion,C,1162.9,5,"Anand, Gujarat",28.0,0.3,1.01,19.1,18.85,1,6
Cotton,B,3626.1,5,"Indore, Madhya Pradesh",70.0,0.05,1.32,76.08,73.09,1,2
Sugarcane,A,2977.9,3,"Pune, Maharashtra",4.5,0.4,1.18,4.62,4.72,1,2
Onion,C,192.3,9,"Anand, Gujarat",28.0,0.3,1.08,22.76,19.73,1,3
Maize,A,2744.2,4,"Ludhiana, Punjab",23.0,0.1,1.23,26.31,26.09,1,5
Cotton,B,3465.2,4,"Anand, Gujarat",70.0,0.05,1.39,79.98,68.78,1,5
Green Chilli,B,678.8,5,"Bengaluru, Karnataka",55.0,0.7,1.25,51.01,51.16,1,2
Carrot,A,1431.2,8,"Bengaluru, Karnataka",34.0,0.5,1.31,49.6,55.26,0,25
Brinjal,B,3869.2,2,"Pune, Maharashtra",22.0,0.75,1.04,21.59,23.89,0,25
Brinjal,C,505.6,1,"Ludhiana, Punjab",22.0,0.75,1.39,23.12,22.11,1,2
Brinjal,B,2444.5,7,"Ludhiana, Punjab",22.0,0.75,1.16,27.25,27.36,1,6
Wheat,A,2103.7,1,"Guntur, Andhra Pradesh",30.0,0.05,1.3,35.25,40.35,0,25
Rice,B,3798.1,2,"Guntur, Andhra Pradesh",48.0,0.05,1.36,45.39,49.9,0,25
Soybean,A,1271.7,9,"Pune, Maharashtra",46.0,0.1,1.1,55.58,50.07,1,4
Brinjal,C,2298.0,10,"Anand, Gujarat",22.0,0.75,1.1,16.4,19.41,0,25
Wheat,B,3153.7,7,"Bengaluru, Karnataka",30.0,0.05,1.2,33.36,37.37,0,25
Cauliflower,B,384.9,11,"Anand, Gujarat",26.0,0.8,1.16,25.8,28.46,0,25
Green Chilli,A,1276.2,11,"Bengaluru, Karnataka",55.0,0.7,1.3,78.72,97.89,0,25
Cabbage,A,3550.2,7,"Indore, Madhya Pradesh",18.0,0.6,1.19,20.98,23.86,0,25
Brinjal,B,632.9,4,"Guntur, Andhra Pradesh",22.0,0.75,1.24,27.8,33.48,0,25
Sugarcane,B,3226.2,3,"Bengaluru, Karnataka",4.5,0.4,1.25,4.02,4.16,1,6
Maize,A,3215.6,3,"Indore, Madhya Pradesh",23.0,0.1,1.23,28.53,35.09,0,25
Maize,B,1811.4,9,"Guntur, Andhra Pradesh",23.0,0.1,0.98,18.59,22.21,0,25
Carrot,B,1145.4,11,"Bengaluru, Karnataka",34.0,0.5,1.29,38.65,39.65,1,7
Rice,B,3577.5,6,"Ludhiana, Punjab",48.0,0.05,0.94,45.27,41.21,1,4
Potato,C,1688.7,2,"Bengaluru, Karnataka",20.0,0.2,1.07,15.38,18.2,0,25
Brinjal,C,1552.5,10,"Nashik, Maharashtra",22.0,0.75,0.9,14.96,14.82,1,6
Cotton,B,916.7,8,"Bengaluru, Karnataka",70.0,0.05,1.12,87.79,98.47,0,25
Brinjal,C,3682.2,8,"Anand, Gujarat",22.0,0.75,1.39,20.53,21.84,0,25
Maize,B,2588.9,2,"Nashik, Maharashtra",23.0,0.1,0.97,21.82,21.86,1,3
Green Chilli,B,3020.4,5,"Guntur, Andhra Pradesh",55.0,0.7,1.32,58.43,55.56,1,2
Tomato,C,935.7,6,"Nashik, Maharashtra",24.0,0.85,0.93,21.11,18.21,1,3
Cotton,A,548.6,4,"Anand, Gujarat",70.0,0.05,1.23,88.44,95.12,0,25
Rice,B,712.8,6,"Pune, Maharashtra",48.0,0.05,1.2,54.58,64.28,0,25
Wheat,A,2324.4,5,"Nashik, Maharashtra",30.0,0.05,1.35,29.24,29.24,1,8
Rice,A,2803.9,2,"Bengaluru, Karnataka",48.0,0.05,1.05,58.71,68.6,0,25
Cabbage,A,1742.1,9,"Ludhiana, Punjab",18.0,0.6,1.09,17.38,18.29,0,25
Green Chilli,A,466.9,8,"Guntur, Andhra Pradesh",55.0,0.7,1.38,49.43,56.0,0,25
Brinjal,A,3242.4,10,"Pune, Maharashtra",22.0,0.75,1.17,18.9,19.72,1,5
Groundnut,C,3414.3,6,"Pune, Maharashtra",72.0,0.1,1.32,76.09,72.1,1,4
Cabbage,C,163.4,6,"Guntur, Andhra Pradesh",18.0,0.6,1.33,19.13,17.65,1,3
Sugarcane,B,3527.3,5,"Ludhiana, Punjab",4.5,0.4,1.25,4.56,5.61,0,25
Onion,A,2242.9,8,"Guntur, Andhra Pradesh",28.0,0.3,1.02,32.63,33.95,1,7
Carrot,A,925.3,5,"Koyambedu, Chennai, Tamil Nadu",34.0,0.5,1.25,44.2,45.94,1,6
Brinjal,C,2826.3,6,"Ludhiana, Punjab",22.0,0.75,1.04,20.34,19.33,1,2
Rice,B,2166.7,12,"Koyambedu, Chennai, Tamil Nadu",48.0,0.05,1.28,45.68,47.68,1,7
Sugarcane,C,3338.9,2,"Pune, Maharashtra",4.5,0.4,1.05,3.32,3.3,1,4
Groundnut,C,229.8,5,"Anand, Gujarat",72.0,0.1,0.93,60.51,66.87,0,25
Sugarcane,B,2317.6,1,"Koyambedu, Chennai, Tamil Nadu",4.5,0.4,1.13,4.44,4.56,1,3
Tomato,B,3297.4,2,"Indore, Madhya Pradesh",24.0,0.85,1.1,22.26,19.4,1,2
Cabbage,B,517.9,4,"Koyambedu, Chennai, Tamil Nadu",18.0,0.6,1.28,22.94,25.06,0,25
Sugarcane,C,1552.5,9,"Bengaluru, Karnataka",4.5,0.4,1.35,4.6,4.7,1,6
Tomato,C,2520.8,4,"Koyambedu, Chennai, Tamil Nadu",24.0,0.85,1.03,25.85,22.81,1,3
Cauliflower,A,1663.6,1,"Anand, Gujarat",26.0,0.8,1.24,25.47,24.58,1,3
Cotton,B,972.0,11,"Koyambedu, Chennai, Tamil Nadu",70.0,0.05,1.03,63.92,74.56,0,25
Cabbage,C,503.4,7,"Bengaluru, Karnataka",18.0,0.6,1.01,18.5,16.78,1,2
Sugarcane,B,541.2,8,"Pune, Maharashtra",4.5,0.4,1.24,5.32,6.01,0,25
Wheat,C,367.7,8,"Indore, Madhya Pradesh",30.0,0.05,0.92,24.14,22.94,1,2
Soybean,C,3294.6,11,"Nashik, Maharashtra",46.0,0.1,1.19,32.88,37.98,0,25
Potato,B,766.9,5,"Indore, Madhya Pradesh",20.0,0.2,1.19,19.68,17.45,1,3
Green Chilli,B,1352.7,3,"Koyambedu, Chennai, Tamil Nadu",55.0,0.7,1.25,57.18,55.2,1,7
Cotton,C,397.8,8,"Nashik, Maharashtra",70.0,0.05,1.03,67.51,80.74,0,25
Cotton,A,264.1,7,"Indore, Madhya Pradesh",70.0,0.05,1.16,91.73,100.82,0,25
Carrot,C,854.1,1,"Indore, Madhya Pradesh",34.0,0.5,1.17,26.55,29.98,0,25
Onion,A,675.6,12,"Bengaluru, Karnataka",28.0,0.3,1.18,36.63,39.23,0,25
Onion,A,3790.9,8,"Koyambedu, Chennai, Tamil Nadu",28.0,0.3,1.22,41.02,39.66,1,6
Brinjal,B,1854.3,4,"Indore, Madhya Pradesh",22.0,0.75,0.97,25.26,23.4,1,5
Groundnut,A,3102.1,5,"Koyambedu, Chennai, Tamil Nadu",72.0,0.1,1.33,88.29,84.48,1,2
Groundnut,B,1813.9,3,"Indore, Madhya Pradesh",72.0,0.1,1.14,79.99,78.63,1,6
Brinjal,B,3924.1,4,"Ludhiana, Punjab",22.0,0.75,1.02,18.02,18.28,1,4
Carrot,C,3954.2,7,"Guntur, Andhra Pradesh",34.0,0.5,1.3,33.87,37.62,0,25
Potato,B,2034.1,3,"Nashik, Maharashtra",20.0,0.2,1.2,18.66,19.15,1,5
Carrot,A,3490.2,7,"Anand, Gujarat",34.0,0.5,1.38,36.5,32.12,1,5
Wheat,B,367.2,11,"Guntur, Andhra Pradesh",30.0,0.05,1.06,30.73,37.85,0,25
Soybean,C,191.8,9,"Indore, Madhya Pradesh",46.0,0.1,0.93,36.27,39.99,0,25
Maize,B,407.0,12,"Bengaluru, Karnataka",23.0,0.1,1.39,29.34,26.12,1,2
Wheat,A,3194.8,6,"Nashik, Maharashtra",30.0,0.05,1.05,31.06,31.06,1,3
Cauliflower,B,741.5,3,"Anand, Gujarat",26.0,0.8,1.2,24.57,25.78,1,6
Rice,B,1058.5,8,"Pune, Maharashtra",48.0,0.05,0.9,52.85,61.93,0,25
Maize,B,1794.8,2,"Anand, Gujarat",23.0,0.1,1.07,22.0,22.43,1,4
Cotton,B,3420.7,7,"Bengaluru, Karnataka",70.0,0.05,0.95,70.79,70.97,1,4
Wheat,C,3912.9,1,"Pune, Maharashtra",30.0,0.05,1.23,27.35,30.75,0,25
Groundnut,A,3114.2,5,"Indore, Madhya Pradesh",72.0,0.1,1.02,85.59,100.21,0,25
Rice,C,1040.0,10,"Bengaluru, Karnataka",48.0,0.05,1.28,40.82,36.93,1,2
Soybean,C,3165.0,5,"Nashik, Maharashtra",46.0,0.1,0.92,33.62,33.48,1,3
Maize,B,1691.2,12,"Ludhiana, Punjab",23.0,0.1,1.0,23.3,23.21,1,5
Wheat,A,3871.2,8,"Pune, Maharashtra",30.0,0.05,1.05,32.22,38.6,0,25
Sugarcane,A,606.0,2,"Indore, Madhya Pradesh",4.5,0.4,1.38,4.81,5.97,0,25
Cotton,C,3173.2,2,"Ludhiana, Punjab",70.0,0.05,0.91,50.35,53.6,0,25
Carrot,B,1555.1,10,"Pune, Maharashtra",34.0,0.5,1.22,34.53,35.86,1,6
Cauliflower,B,299.7,11,"Bengaluru, Karnataka",26.0,0.8,1.31,29.88,36.27,0,25
Wheat,C,602.1,2,"Guntur, Andhra Pradesh",30.0,0.05,1.37,28.21,25.08,1,6
Potato,B,2698.4,6,"Indore, Madhya Pradesh",20.0,0.2,1.27,21.98,27.0,0,25
Brinjal,C,2636.9,7,"Anand, Gujarat",22.0,0.75,1.32,16.51,15.88,1,6
Rice,B,3429.0,4,"Indore, Madhya Pradesh",48.0,0.05,0.95,41.24,46.36,0,25
Cauliflower,C,1622.7,1,"Ludhiana, Punjab",26.0,0.8,0.99,20.7,21.36,1,6
Soybean,C,3157.8,1,"Nashik, Maharashtra",46.0,0.1,1.02,40.95,36.87,1,4
Onion,C,903.0,10,"Bengaluru, Karnataka",28.0,0.3,1.33,23.26,28.15,0,25
Tomato,B,2183.9,3,"Anand, Gujarat",24.0,0.85,1.3,27.72,24.78,1,6
Potato,A,2376.0,4,"Ludhiana, Punjab",20.0,0.2,0.91,21.71,22.11,1,3
Onion,B,2077.3,6,"Indore, Madhya Pradesh",28.0,0.3,0.95,28.23,29.68,0,25
Cabbage,A,2591.2,8,"Pune, Maharashtra",18.0,0.6,0.92,25.07,25.58,1,3
Groundnut,B,1322.3,2,"Koyambedu, Chennai, Tamil Nadu",72.0,0.1,0.97,78.44,70.63,1,5
Cabbage,C,3978.8,7,"Ludhiana, Punjab",18.0,0.6,1.17,13.23,11.77,1,5
Cotton,C,1833.6,7,"Bengaluru, Karnataka",70.0,0.05,1.01,68.55,67.56,1,5
Brinjal,C,1735.7,6,"Koyambedu, Chennai, Tamil Nadu",22.0,0.75,1.23,20.65,25.18,0,25
Onion,A,1755.9,2,"Koyambedu, Chennai, Tamil Nadu",28.0,0.3,1.27,31.83,31.8,1,3
Tomato,C,532.8,11,"Ludhiana, Punjab",24.0,0.85,1.08,15.15,18.14,0,25
Groundnut,A,1284.2,10,"Pune, Maharashtra",72.0,0.1,0.95,64.04,67.43,0,25
Potato,C,3396.7,4,"Indore, Madhya Pradesh",20.0,0.2,1.08,15.8,15.19,1,3
Brinjal,C,3719.9,10,"Nashik, Maharashtra",22.0,0.75,1.31,15.56,14.89,1,3
Groundnut,B,74.1,6,"Ludhiana, Punjab",72.0,0.1,1.33,74.66,67.7,1,5
Tomato,A,1708.3,7,"Bengaluru, Karnataka",24.0,0.85,1.07,29.65,29.59,1,6
Sugarcane,C,664.5,1,"Koyambedu, Chennai, Tamil Nadu",4.5,0.4,1.28,3.78,3.88,1,5
Cabbage,B,901.5,5,"Guntur, Andhra Pradesh",18.0,0.6,1.16,19.44,19.21,1,3
Soybean,C,2685.2,9,"Indore, Madhya Pradesh",46.0,0.1,0.92,34.12,29.11,1,3
Rice,A,1346.1,5,"Pune, Maharashtra",48.0,0.05,0.9,59.8,68.7,0,25
Potato,A,2829.5,9,"Guntur, Andhra Pradesh",20.0,0.2,1.15,24.93,21.91,1,6
Tomato,B,3688.6,8,"Nashik, Maharashtra",24.0,0.85,1.33,19.55,21.12,0,25
Cabbage,B,504.9,5,"Guntur, Andhra Pradesh",18.0,0.6,0.91,16.73,18.36,0,25
Cotton,C,1775.0,2,"Ludhiana, Punjab",70.0,0.05,0.95,64.73,66.3,1,5
Onion,B,1391.1,12,"Pune, Maharashtra",28.0,0.3,1.07,32.33,28.96,1,4
Maize,B,3835.0,12,"Ludhiana, Punjab",23.0,0.1,1.22,24.6,22.36,1,2
Wheat,A,653.8,10,"Anand, Gujarat",30.0,0.05,1.28,42.68,47.0,0,25
Carrot,C,3700.4,11,"Indore, Madhya Pradesh",34.0,0.5,1.18,31.39,34.66,0,25
Cabbage,B,1787.1,3,"Ludhiana, Punjab",18.0,0.6,1.13,16.06,17.45,0,25
Green Chilli,C,1873.9,5,"Koyambedu, Chennai, Tamil Nadu",55.0,0.7,0.92,41.54,41.44,1,4
Soybean,A,2342.3,8,"Guntur, Andhra Pradesh",46.0,0.1,1.38,57.3,69.54,0,25
Cabbage,C,2439.8,6,"Bengaluru, Karnataka",18.0,0.6,1.15,16.96,20.91,0,25
Carrot,A,383.1,12,"Ludhiana, Punjab",34.0,0.5,1.22,38.86,48.43,0,25
Cauliflower,C,1522.8,6,"Anand, Gujarat",26.0,0.8,1.04,23.83,24.15,1,4
Cabbage,A,1352.3,2,"Ludhiana, Punjab",18.0,0.6,1.18,16.5,19.65,0,25
Maize,C,371.9,6,"Anand, Gujarat",23.0,0.1,1.23,22.34,27.18,0,25
Wheat,C,2400.4,3,"Guntur, Andhra Pradesh",30.0,0.05,1.37,22.05,25.72,0,25
Cotton,A,2698.3,11,"Koyambedu, Chennai, Tamil Nadu",70.0,0.05,1.15,77.22,66.2,1,3
Rice,B,944.8,4,"Indore, Madhya Pradesh",48.0,0.05,0.97,51.33,45.71,1,5
Cotton,C,1380.2,11,"Nashik, Maharashtra",70.0,0.05,1.28,55.56,50.14,1,3
Potato,A,1778.8,12,"Anand, Gujarat",20.0,0.2,1.11,23.38,24.03,1,4
Groundnut,B,994.7,9,"Bengaluru, Karnataka",72.0,0.1,1.38,85.68,99.71,0,25
Maize,A,3791.2,11,"Ludhiana, Punjab",23.0,0.1,1.39,26.39,26.46,1,5
Potato,A,256.1,5,"Anand, Gujarat",20.0,0.2,1.14,25.41,25.37,1,8
Groundnut,C,381.3,5,"Koyambedu, Chennai, Tamil Nadu",72.0,0.1,0.98,62.98,74.47,0,25
Onion,A,3725.4,6,"Indore, Madhya Pradesh",28.0,0.3,1.11,32.53,32.81,1,4
Brinjal,A,161.3,4,"Ludhiana, Punjab",22.0,0.75,1.37,30.43,35.5,0,25
Potato,A,2799.5,8,"Pune, Maharashtra",20.0,0.2,0.97,21.34,24.16,0,25
Carrot,C,125.1,2,"Nashik, Maharashtra",34.0,0.5,1.01,27.48,30.05,0,25
Brinjal,A,1239.5,4,"Pune, Maharashtra",22.0,0.75,0.92,31.61,32.18,1,7
Carrot,A,2407.1,8,"Koyambedu, Chennai, Tamil Nadu",34.0,0.5,0.91,38.18,34.65,1,4
Cabbage,B,1695.4,10,"Bengaluru, Karnataka",18.0,0.6,1.23,21.17,18.72,1,6
Onion,C,3499.7,7,"Nashik, Maharashtra",28.0,0.3,0.92,20.68,23.76,0,25
Green Chilli,A,2945.1,4,"Ludhiana, Punjab",55.0,0.7,1.21,68.62,79.5,0,25
Groundnut,B,1441.6,1,"Anand, Gujarat",72.0,0.1,1.07,68.77,77.29,0,25
Groundnut,B,299.2,3,"Anand, Gujarat",72.0,0.1,1.29,72.79,75.2,1,4
Tomato,A,3736.8,6,"Nashik, Maharashtra",24.0,0.85,1.16,32.52,30.94,1,6
Rice,B,3469.9,1,"Ludhiana, Punjab",48.0,0.05,1.07,46.4,41.75,1,3
Maize,B,1389.2,7,"Indore, Madhya Pradesh",23.0,0.1,0.99,22.08,25.81,0,25
Wheat,A,1750.9,2,"Guntur, Andhra Pradesh",30.0,0.05,1.4,36.43,33.6,1,3
Onion,A,1217.8,11,"Ludhiana, Punjab",28.0,0.3,1.12,32.62,33.52,1,5
Groundnut,B,2575.9,5,"Guntur, Andhra Pradesh",72.0,0.1,1.3,73.06,63.78,1,5
Brinjal,B,614.0,1,"Anand, Gujarat",22.0,0.75,1.2,24.22,21.24,1,5
Green Chilli,B,177.9,10,"Guntur, Andhra Pradesh",55.0,0.7,0.98,55.23,56.89,1,4
Carrot,A,1499.5,9,"Anand, Gujarat",34.0,0.5,1.06,38.87,33.44,1,2
Cauliflower,B,3111.1,5,"Koyambedu, Chennai, Tamil Nadu",26.0,0.8,1.25,37.88,35.45,1,5
Groundnut,B,586.1,2,"Bengaluru, Karnataka",72.0,0.1,0.94,85.81,107.17,0,25
Sugarcane,C,1422.3,11,"Ludhiana, Punjab",4.5,0.4,0.93,3.94,4.2,0,25
Maize,B,2852.8,12,"Anand, Gujarat",23.0,0.1,1.25,24.77,23.28,1,7
Sugarcane,A,153.8,8,"Bengaluru, Karnataka",4.5,0.4,1.18,6.5,6.48,1,7
Cauliflower,A,1271.7,2,"Koyambedu, Chennai, Tamil Nadu",26.0,0.8,1.4,35.16,40.7,0,25
Cotton,C,3890.9,3,"Koyambedu, Chennai, Tamil Nadu",70.0,0.05,1.22,60.25,62.06,1,6
Green Chilli,A,1758.8,3,"Anand, Gujarat",55.0,0.7,1.36,74.21,67.62,1,2
Green Chilli,C,3792.6,6,"Bengaluru, Karnataka",55.0,0.7,1.16,43.92,42.32,1,2
Rice,C,2518.8,3,"Pune, Maharashtra",48.0,0.05,1.21,47.18,51.27,0,25
Cabbage,A,2516.7,11,"Anand, Gujarat",18.0,0.6,1.35,24.2,23.84,1,7
Tomato,A,3796.8,1,"Koyambedu, Chennai, Tamil Nadu",24.0,0.85,1.29,25.21,27.2,0,25
Cabbage,C,3561.5,8,"Nashik, Maharashtra",18.0,0.6,1.17,16.43,18.18,0,25
Wheat,B,1654.1,11,"Bengaluru, Karnataka",30.0,0.05,1.13,34.35,34.91,1,5
Green Chilli,C,3452.9,6,"Anand, Gujarat",55.0,0.7,1.06,35.47,44.17,0,25
Green Chilli,B,2084.2,6,"Anand, Gujarat",55.0,0.7,0.95,44.71,46.04,1,3
Tomato,B,1701.6,10,"Guntur, Andhra Pradesh",24.0,0.85,1.38,28.33,34.31,0,25
Cotton,B,3064.3,4,"Ludhiana, Punjab",70.0,0.05,1.15,63.22,61.54,1,2
Brinjal,C,899.8,4,"Indore, Madhya Pradesh",22.0,0.75,1.08,18.75,16.32,1,4
Maize,C,2169.9,5,"Indore, Madhya Pradesh",23.0,0.1,1.32,18.06,20.61,0,25
Sugarcane,B,1632.3,1,"Ludhiana, Punjab",4.5,0.4,1.19,3.92,3.64,1,5
Onion,B,1154.9,9,"Indore, Madhya Pradesh",28.0,0.3,1.39,29.65,36.77,0,25
Brinjal,B,3758.8,9,"Ludhiana, Punjab",22.0,0.75,1.28,17.47,16.24,1,4
Cauliflower,A,591.3,1,"Nashik, Maharashtra",26.0,0.8,1.07,22.03,24.07,0,25
Cauliflower,A,1308.2,10,"Ludhiana, Punjab",26.0,0.8,1.1,31.15,34.16,0,25
Cotton,B,3321.7,9,"Ludhiana, Punjab",70.0,0.05,1.17,68.5,80.58,0,25
Green Chilli,B,2355.6,7,"Koyambedu, Chennai, Tamil Nadu",55.0,0.7,1.3,46.36,52.86,0,25
Groundnut,C,1924.6,10,"Nashik, Maharashtra",72.0,0.1,1.38,55.42,59.91,0,25
Groundnut,A,2120.7,3,"Indore, Madhya Pradesh",72.0,0.1,1.26,75.01,87.0,0,25
Brinjal,A,2311.7,1,"Bengaluru, Karnataka",22.0,0.75,1.25,30.83,31.37,1,5
Rice,B,2923.2,12,"Indore, Madhya Pradesh",48.0,0.05,1.25,41.28,43.65,0,25
Cauliflower,B,1538.5,9,"Indore, Madhya Pradesh",26.0,0.8,1.38,23.87,25.51,0,25
Soybean,C,1962.5,10,"Pune, Maharashtra",46.0,0.1,1.38,37.35,35.92,1,4
Wheat,B,2834.7,12,"Bengaluru, Karnataka",30.0,0.05,1.06,30.92,36.12,0,25
Wheat,B,2722.7,10,"Koyambedu, Chennai, Tamil Nadu",30.0,0.05,1.09,35.66,44.29,0,25
Cotton,B,216.2,5,"Anand, Gujarat",70.0,0.05,1.38,92.8,103.23,0,25
Groundnut,B,3320.4,4,"Bengaluru, Karnataka",72.0,0.1,1.04,84.86,91.21,0,25
Wheat,A,2976.5,10,"Koyambedu, Chennai, Tamil Nadu",30.0,0.05,1.02,40.36,37.95,1,3
Onion,B,1916.0,12,"Ludhiana, Punjab",28.0,0.3,1.24,31.27,28.3,1,6
Maize,A,3743.4,11,"Guntur, Andhra Pradesh",23.0,0.1,1.34,26.85,33.17,0,25
Green Chilli,B,2626.6,2,"Nashik, Maharashtra",55.0,0.7,1.02,54.43,62.35,0,25
Cotton,A,3534.9,7,"Anand, Gujarat",70.0,0.05,0.99,96.81,97.66,1,5
Maize,C,86.6,1,"Pune, Maharashtra",23.0,0.1,1.18,20.23,18.06,1,6
Wheat,B,3411.7,3,"Indore, Madhya Pradesh",30.0,0.05,1.13,24.03,21.99,1,4
Wheat,C,2959.6,1,"Anand, Gujarat",30.0,0.05,1.3,27.63,29.76,0,25
Sugarcane,A,3431.8,10,"Anand, Gujarat",4.5,0.4,1.35,5.66,5.01,1,5
Potato,A,3746.5,6,"Indore, Madhya Pradesh",20.0,0.2,0.9,19.48,19.55,1,5
Wheat,B,2905.4,10,"Pune, Maharashtra",30.0,0.05,0.91,28.8,25.2,1,2
Wheat,A,2035.0,11,"Guntur, Andhra Pradesh",30.0,0.05,1.35,35.07,39.68,0,25
Wheat,C,3668.7,11,"Koyambedu, Chennai, Tamil Nadu",30.0,0.05,1.05,26.51,23.95,1,2
Groundnut,C,2822.7,7,"Ludhiana, Punjab",72.0,0.1,1.36,61.86,71.32,0,25
Sugarcane,C,2737.4,4,"Bengaluru, Karnataka",4.5,0.4,1.2,4.44,4.71,0,25
Green Chilli,A,3323.7,1,"Koyambedu, Chennai, Tamil Nadu",55.0,0.7,1.35,61.77,57.5,1,5
Potato,B,2737.2,2,"Indore, Madhya Pradesh",20.0,0.2,1.26,13.85,14.24,1,2
Potato,C,2277.4,8,"Guntur, Andhra Pradesh",20.0,0.2,1.18,17.82,19.94,0,25
Wheat,C,1055.1,7,"Nashik, Maharashtra",30.0,0.05,0.9,25.24,25.73,1,6
Cauliflower,A,175.4,8,"Koyambedu, Chennai, Tamil Nadu",26.0,0.8,1.1,36.2,41.9,0,25
Sugarcane,C,3971.8,6,"Guntur, Andhra Pradesh",4.5,0.4,1.09,4.04,4.04,1,6
Soybean,C,3448.1,11,"Anand, Gujarat",46.0,0.1,0.96,28.08,35.02,0,25
Brinjal,C,3916.0,12,"Anand, Gujarat",22.0,0.75,1.32,20.09,20.8,1,7
Brinjal,C,1027.7,4,"Guntur, Andhra Pradesh",22.0,0.75,1.07,14.07,13.51,1,7
Groundnut,A,1706.0,11,"Nashik, Maharashtra",72.0,0.1,1.28,72.53,67.63,1,2
