distance_km,cargo_weight_kg,crop_name,perishability,vehicle_type,base_component,distance_component,weight_component,perishability_component,fair_freight
478.4,5987.0,Wheat,0.05,Heavy Truck,300.0,10525.0,2291.0,43.0,12766.0
515.3,3283.0,Green Chilli,0.7,Mini Truck,300.0,8760.0,1353.0,649.0,11198.0
459.5,6862.0,Carrot,0.5,Heavy Truck,300.0,10109.0,2522.0,414.0,13051.0
195.2,6319.0,Rice,0.05,Heavy Truck,300.0,4294.0,987.0,18.0,5393.0
158.1,3623.0,Tomato,0.85,Heavy Truck,300.0,3478.0,458.0,242.0,4389.0
89.9,1603.0,Onion,0.3,Mini Truck,300.0,1528.0,115.0,49.0,2069.0
53.9,1487.0,Cotton,0.05,Mini Truck,300.0,916.0,64.0,5.0,1308.0
597.8,6865.0,Brinjal,0.75,Heavy Truck,300.0,13152.0,3283.0,807.0,18318.0
338.3,3592.0,Maize,0.1,Heavy Truck,300.0,7443.0,972.0,61.0,8563.0
594.7,571.0,Sugarcane,0.4,Pickup,300.0,8326.0,272.0,428.0,9099.0
357.7,1454.0,Wheat,0.05,Mini Truck,300.0,6081.0,416.0,32.0,7064.0
288.3,2280.0,Onion,0.3,Mini Truck,300.0,4901.0,526.0,156.0,5813.0
88.2,4871.0,Brinjal,0.75,Heavy Truck,300.0,1940.0,344.0,119.0,2675.0
433.0,6493.0,Groundnut,0.1,Heavy Truck,300.0,9526.0,2249.0,78.0,11915.0
529.8,5511.0,Tomato,0.85,Heavy Truck,300.0,11656.0,2336.0,811.0,14636.0
371.3,841.0,Brinjal,0.75,Pickup,300.0,5198.0,250.0,501.0,6385.0
130.3,2027.0,Brinjal,0.75,Mini Truck,300.0,2215.0,211.0,176.0,2916.0
480.5,3155.0,Brinjal,0.75,Mini Truck,300.0,8168.0,1213.0,649.0,10785.0
389.2,2843.0,Maize,0.1,Mini Truck,300.0,6616.0,885.0,70.0,7603.0
208.7,1548.0,Brinjal,0.75,Mini Truck,300.0,3548.0,258.0,282.0,4267.0
396.9,1873.0,Brinjal,0.75,Mini Truck,300.0,6747.0,595.0,536.0,8314.0
285.2,6805.0,Green Chilli,0.7,Heavy Truck,300.0,6274.0,1553.0,359.0,8187.0
386.0,4142.0,Tomato,0.85,Heavy Truck,300.0,8492.0,1279.0,591.0,10897.0
81.8,3773.0,Cauliflower,0.8,Heavy Truck,300.0,1800.0,247.0,118.0,2441.0
155.8,217.0,Maize,0.1,Pickup,300.0,2181.0,27.0,28.0,2488.0
605.9,4991.0,Potato,0.2,Heavy Truck,300.0,13330.0,2419.0,218.0,15756.0
64.4,4202.0,Soybean,0.1,Heavy Truck,300.0,1417.0,216.0,12.0,1958.0
588.9,1274.0,Wheat,0.05,Mini Truck,300.0,10011.0,600.0,53.0,10911.0
481.1,3651.0,Cauliflower,0.8,Heavy Truck,300.0,10584.0,1405.0,693.0,12811.0
490.7,6317.0,Soybean,0.1,Heavy Truck,300.0,10795.0,2480.0,88.0,13873.0
303.0,2658.0,Potato,0.2,Mini Truck,300.0,5151.0,644.0,109.0,6269.0
571.2,5785.0,Maize,0.1,Heavy Truck,300.0,12566.0,2644.0,103.0,15677.0
416.5,4040.0,Sugarcane,0.4,Heavy Truck,300.0,9163.0,1346.0,300.0,11184.0
615.1,5219.0,Cotton,0.05,Heavy Truck,300.0,13532.0,2568.0,55.0,16675.0
124.7,593.0,Groundnut,0.1,Pickup,300.0,1746.0,59.0,22.0,2154.0
477.9,4303.0,Maize,0.1,Heavy Truck,300.0,10514.0,1645.0,86.0,12791.0
414.0,610.0,Potato,0.2,Pickup,300.0,5796.0,202.0,149.0,6363.0
355.9,4511.0,Maize,0.1,Heavy Truck,300.0,7830.0,1284.0,64.0,9833.0
585.2,3289.0,Maize,0.1,Mini Truck,300.0,9948.0,1540.0,105.0,11769.0
381.6,2165.0,Wheat,0.05,Mini Truck,300.0,6487.0,661.0,34.0,7806.0
529.0,5550.0,Sugarcane,0.4,Heavy Truck,300.0,11638.0,2349.0,381.0,15303.0
282.3,5348.0,Potato,0.2,Heavy Truck,300.0,6211.0,1208.0,102.0,7875.0
260.4,3711.0,Onion,0.3,Heavy Truck,300.0,5729.0,773.0,141.0,6779.0
149.3,305.0,Cauliflower,0.8,Pickup,300.0,2090.0,36.0,215.0,2655.0
491.3,5958.0,Onion,0.3,Heavy Truck,300.0,10809.0,2342.0,265.0,14124.0
380.0,4307.0,Carrot,0.5,Heavy Truck,300.0,8360.0,1309.0,342.0,10673.0
61.1,6622.0,Green Chilli,0.7,Heavy Truck,300.0,1344.0,324.0,77.0,2069.0
578.0,256.0,Sugarcane,0.4,Pickup,300.0,8092.0,118.0,416.0,9065.0
596.8,6766.0,Groundnut,0.1,Heavy Truck,300.0,13130.0,3230.0,107.0,16961.0
551.4,5850.0,Carrot,0.5,Heavy Truck,300.0,12131.0,2581.0,496.0,15541.0
40.1,2278.0,Cauliflower,0.8,Mini Truck,300.0,682.0,73.0,58.0,1154.0
601.8,4138.0,Rice,0.05,Heavy Truck,300.0,13240.0,1992.0,54.0,16117.0
249.1,4433.0,Soybean,0.1,Heavy Truck,300.0,5480.0,883.0,45.0,6629.0
332.9,5281.0,Sugarcane,0.4,Heavy Truck,300.0,7324.0,1406.0,240.0,9501.0
625.2,182.0,Cotton,0.05,Pickup,300.0,8753.0,91.0,56.0,9386.0
134.9,4746.0,Tomato,0.85,Heavy Truck,300.0,2968.0,512.0,206.0,4095.0
87.8,4072.0,Sugarcane,0.4,Heavy Truck,300.0,1932.0,286.0,63.0,2613.0
16.7,6714.0,Cauliflower,0.8,Heavy Truck,300.0,367.0,90.0,24.0,759.0
377.0,3373.0,Potato,0.2,Mini Truck,300.0,6409.0,1017.0,136.0,8005.0
211.7,937.0,Groundnut,0.1,Pickup,300.0,2964.0,159.0,38.0,3455.0
377.3,4862.0,Green Chilli,0.7,Heavy Truck,300.0,8301.0,1468.0,475.0,10906.0
520.5,6004.0,Groundnut,0.1,Heavy Truck,300.0,11451.0,2500.0,94.0,13930.0
191.4,521.0,Potato,0.2,Pickup,300.0,2680.0,80.0,69.0,3087.0
467.4,1525.0,Onion,0.3,Mini Truck,300.0,7946.0,570.0,252.0,9445.0
606.9,5586.0,Cauliflower,0.8,Heavy Truck,300.0,13352.0,2712.0,874.0,17318.0
252.6,2874.0,Maize,0.1,Mini Truck,300.0,4294.0,581.0,45.0,5218.0
148.9,2506.0,Groundnut,0.1,Mini Truck,300.0,2531.0,299.0,27.0,3201.0
373.7,1542.0,Rice,0.05,Mini Truck,300.0,6353.0,461.0,34.0,7375.0
48.6,149.0,Green Chilli,0.7,Pickup,300.0,680.0,6.0,61.0,1057.0
634.3,6838.0,Cotton,0.05,Heavy Truck,300.0,13955.0,3470.0,57.0,18624.0
67.8,4467.0,Wheat,0.05,Heavy Truck,300.0,1492.0,242.0,6.0,2041.0
167.6,4590.0,Cotton,0.05,Heavy Truck,300.0,3687.0,615.0,15.0,4593.0
250.4,4135.0,Cabbage,0.6,Heavy Truck,300.0,5509.0,828.0,270.0,6747.0
231.9,6153.0,Onion,0.3,Heavy Truck,300.0,5102.0,1142.0,125.0,6630.0
167.5,6700.0,Cabbage,0.6,Heavy Truck,300.0,3685.0,898.0,181.0,4881.0
95.8,3606.0,Rice,0.05,Heavy Truck,300.0,2108.0,276.0,9.0,2699.0
126.3,294.0,Potato,0.2,Pickup,300.0,1768.0,30.0,45.0,2163.0
280.0,5383.0,Brinjal,0.75,Heavy Truck,300.0,6160.0,1206.0,378.0,8019.0
229.6,1821.0,Potato,0.2,Mini Truck,300.0,3903.0,334.0,83.0,4652.0
251.7,1859.0,Onion,0.3,Mini Truck,300.0,4279.0,374.0,136.0,5260.0
447.1,628.0,Maize,0.1,Pickup,300.0,6259.0,225.0,80.0,6655.0
649.5,3287.0,Green Chilli,0.7,Mini Truck,300.0,11042.0,1708.0,818.0,14105.0
141.0,3794.0,Cotton,0.05,Heavy Truck,300.0,3102.0,428.0,13.0,3908.0
201.8,5815.0,Tomato,0.85,Heavy Truck,300.0,4440.0,939.0,309.0,6273.0
626.5,359.0,Soybean,0.1,Pickup,300.0,8771.0,180.0,113.0,9461.0
10.8,3484.0,Rice,0.05,Mini Truck,300.0,184.0,30.0,1.0,494.0
101.3,2996.0,Brinjal,0.75,Mini Truck,300.0,1722.0,243.0,137.0,2335.0
558.6,6119.0,Wheat,0.05,Heavy Truck,300.0,12289.0,2734.0,50.0,15636.0
442.9,3228.0,Cauliflower,0.8,Mini Truck,300.0,7529.0,1144.0,638.0,9879.0
157.1,2287.0,Rice,0.05,Mini Truck,300.0,2671.0,287.0,14.0,3414.0
378.2,4068.0,Tomato,0.85,Heavy Truck,300.0,8320.0,1231.0,579.0,10405.0
267.4,4897.0,Cotton,0.05,Heavy Truck,300.0,5883.0,1048.0,24.0,7563.0
560.6,4424.0,Groundnut,0.1,Heavy Truck,300.0,12333.0,1984.0,101.0,15348.0
374.6,1295.0,Cauliflower,0.8,Mini Truck,300.0,6368.0,388.0,539.0,7814.0
188.1,4334.0,Carrot,0.5,Heavy Truck,300.0,4138.0,652.0,169.0,5412.0
567.5,5305.0,Green Chilli,0.7,Heavy Truck,300.0,12485.0,2408.0,715.0,15432.0
462.4,5835.0,Sugarcane,0.4,Heavy Truck,300.0,10173.0,2158.0,333.0,12829.0
489.1,3230.0,Cotton,0.05,Mini Truck,300.0,8315.0,1264.0,44.0,9964.0
300.2,6229.0,Tomato,0.85,Heavy Truck,300.0,6604.0,1496.0,459.0,9017.0
281.9,3914.0,Cauliflower,0.8,Heavy Truck,300.0,6202.0,883.0,406.0,8170.0
514.9,5327.0,Cotton,0.05,Heavy Truck,300.0,11328.0,2194.0,46.0,14352.0
183.4,5074.0,Cotton,0.05,Heavy Truck,300.0,4035.0,744.0,17.0,4908.0
205.2,1537.0,Cauliflower,0.8,Mini Truck,300.0,3488.0,252.0,295.0,4459.0
586.7,3600.0,Rice,0.05,Heavy Truck,300.0,12907.0,1690.0,53.0,15090.0
293.6,5257.0,Cauliflower,0.8,Heavy Truck,300.0,6459.0,1235.0,423.0,8249.0
159.8,2892.0,Sugarcane,0.4,Mini Truck,300.0,2717.0,370.0,115.0,3511.0
18.9,1832.0,Rice,0.05,Mini Truck,300.0,321.0,28.0,2.0,667.0
397.2,4397.0,Onion,0.3,Heavy Truck,300.0,8738.0,1397.0,214.0,11127.0
233.4,3637.0,Soybean,0.1,Heavy Truck,300.0,5135.0,679.0,42.0,6394.0
630.4,1385.0,Potato,0.2,Mini Truck,300.0,10717.0,698.0,227.0,11890.0
233.2,5534.0,Tomato,0.85,Heavy Truck,300.0,5130.0,1032.0,357.0,7114.0
53.4,5947.0,Cotton,0.05,Heavy Truck,300.0,1175.0,254.0,5.0,1800.0
582.4,4317.0,Groundnut,0.1,Heavy Truck,300.0,12813.0,2011.0,105.0,15514.0
298.1,1024.0,Wheat,0.05,Pickup,300.0,4173.0,244.0,27.0,4878.0
52.4,491.0,Groundnut,0.1,Pickup,300.0,734.0,21.0,9.0,1068.0
388.6,4959.0,Onion,0.3,Heavy Truck,300.0,8549.0,1542.0,210.0,10716.0
112.1,2661.0,Sugarcane,0.4,Mini Truck,300.0,1906.0,239.0,81.0,2479.0
362.5,619.0,Cabbage,0.6,Pickup,300.0,5075.0,180.0,392.0,5966.0
404.3,782.0,Soybean,0.1,Pickup,300.0,5660.0,253.0,73.0,6557.0
102.3,2012.0,Carrot,0.5,Mini Truck,300.0,1739.0,165.0,92.0,2210.0
477.3,3950.0,Potato,0.2,Heavy Truck,300.0,10501.0,1508.0,172.0,12818.0
639.1,6072.0,Cabbage,0.6,Heavy Truck,300.0,14060.0,3104.0,690.0,18094.0
127.3,2675.0,Carrot,0.5,Mini Truck,300.0,2164.0,272.0,115.0,2953.0
517.8,1380.0,Tomato,0.85,Mini Truck,300.0,8803.0,572.0,792.0,10297.0
579.6,4555.0,Rice,0.05,Heavy Truck,300.0,12751.0,2112.0,52.0,14843.0
73.8,3782.0,Cabbage,0.6,Heavy Truck,300.0,1624.0,223.0,80.0,2148.0
133.1,2740.0,Brinjal,0.75,Mini Truck,300.0,2263.0,292.0,180.0,2940.0
254.1,447.0,Tomato,0.85,Pickup,300.0,3557.0,91.0,389.0,4222.0
265.6,4892.0,Potato,0.2,Heavy Truck,300.0,5843.0,1039.0,96.0,7024.0
605.2,5475.0,Tomato,0.85,Heavy Truck,300.0,13314.0,2651.0,926.0,17423.0
508.8,1731.0,Maize,0.1,Mini Truck,300.0,8650.0,705.0,92.0,10060.0
471.7,584.0,Green Chilli,0.7,Pickup,300.0,6604.0,220.0,594.0,7546.0
623.4,4125.0,Tomato,0.85,Heavy Truck,300.0,13715.0,2057.0,954.0,16864.0
314.5,2260.0,Tomato,0.85,Mini Truck,300.0,5346.0,569.0,481.0,6486.0
165.8,2401.0,Sugarcane,0.4,Mini Truck,300.0,2819.0,318.0,119.0,3594.0
17.9,5610.0,Rice,0.05,Heavy Truck,300.0,394.0,80.0,2.0,788.0
67.3,5293.0,Tomato,0.85,Heavy Truck,300.0,1481.0,285.0,103.0,2210.0
119.9,745.0,Rice,0.05,Pickup,300.0,1679.0,71.0,11.0,2079.0
253.6,385.0,Cauliflower,0.8,Pickup,300.0,3550.0,78.0,365.0,4305.0
58.4,2790.0,Potato,0.2,Mini Truck,300.0,993.0,130.0,21.0,1411.0
26.0,5783.0,Green Chilli,0.7,Heavy Truck,300.0,572.0,120.0,33.0,1064.0
464.4,2027.0,Brinjal,0.75,Mini Truck,300.0,7895.0,753.0,627.0,9875.0
649.2,866.0,Potato,0.2,Pickup,300.0,9089.0,450.0,234.0,10165.0
645.4,572.0,Cotton,0.05,Pickup,300.0,9036.0,295.0,58.0,9307.0
174.4,1790.0,Tomato,0.85,Mini Truck,300.0,2965.0,250.0,267.0,3965.0
102.6,1657.0,Wheat,0.05,Mini Truck,300.0,1744.0,136.0,9.0,2160.0
513.4,6327.0,Potato,0.2,Heavy Truck,300.0,11295.0,2599.0,185.0,14270.0
69.4,2841.0,Potato,0.2,Mini Truck,300.0,1180.0,158.0,25.0,1647.0
147.4,4155.0,Sugarcane,0.4,Heavy Truck,300.0,3243.0,490.0,106.0,4004.0
620.8,6406.0,Soybean,0.1,Heavy Truck,300.0,13658.0,3181.0,112.0,17695.0
383.3,2205.0,Cotton,0.05,Mini Truck,300.0,6516.0,676.0,34.0,7528.0
549.2,6195.0,Brinjal,0.75,Heavy Truck,300.0,12082.0,2722.0,741.0,16092.0
143.3,1360.0,Soybean,0.1,Mini Truck,300.0,2436.0,156.0,26.0,2965.0
212.1,1650.0,Potato,0.2,Mini Truck,300.0,3606.0,280.0,76.0,4272.0
60.5,3313.0,Cotton,0.05,Mini Truck,300.0,1028.0,160.0,5.0,1475.0
366.6,6797.0,Soybean,0.1,Heavy Truck,300.0,8065.0,1993.0,66.0,10133.0
616.7,5807.0,Green Chilli,0.7,Heavy Truck,300.0,13567.0,2865.0,777.0,17730.0
234.5,2738.0,Potato,0.2,Mini Truck,300.0,3986.0,514.0,84.0,4736.0
378.0,862.0,Maize,0.1,Pickup,300.0,5292.0,261.0,68.0,5970.0
600.2,727.0,Sugarcane,0.4,Pickup,300.0,8403.0,349.0,432.0,9472.0
573.7,6954.0,Groundnut,0.1,Heavy Truck,300.0,12621.0,3192.0,103.0,15984.0
398.3,3797.0,Brinjal,0.75,Heavy Truck,300.0,8763.0,1210.0,538.0,10626.0
365.8,5559.0,Maize,0.1,Heavy Truck,300.0,8048.0,1627.0,66.0,10525.0
441.7,976.0,Carrot,0.5,Pickup,300.0,6184.0,345.0,398.0,7184.0
47.6,167.0,Cauliflower,0.8,Pickup,300.0,666.0,6.0,69.0,1025.0
302.0,263.0,Groundnut,0.1,Pickup,300.0,4228.0,64.0,54.0,4557.0
535.4,3947.0,Onion,0.3,Heavy Truck,300.0,11779.0,1691.0,289.0,14732.0
80.1,324.0,Wheat,0.05,Pickup,300.0,1121.0,21.0,7.0,1472.0
373.0,692.0,Wheat,0.05,Pickup,300.0,5222.0,206.0,34.0,5554.0
268.3,5185.0,Sugarcane,0.4,Heavy Truck,300.0,5903.0,1113.0,193.0,7566.0
537.3,6267.0,Rice,0.05,Heavy Truck,300.0,11821.0,2694.0,48.0,14794.0
625.6,4415.0,Cotton,0.05,Heavy Truck,300.0,13763.0,2210.0,56.0,15966.0
218.7,1690.0,Cauliflower,0.8,Mini Truck,300.0,3718.0,296.0,315.0,4555.0
289.7,3198.0,Tomato,0.85,Mini Truck,300.0,4925.0,741.0,443.0,6444.0
85.1,4061.0,Cauliflower,0.8,Heavy Truck,300.0,1872.0,276.0,123.0,2563.0
185.6,1394.0,Groundnut,0.1,Mini Truck,300.0,3155.0,207.0,33.0,3832.0
117.6,6985.0,Rice,0.05,Heavy Truck,300.0,2587.0,657.0,11.0,3651.0
324.7,6578.0,Potato,0.2,Heavy Truck,300.0,7143.0,1709.0,117.0,9621.0
239.9,2369.0,Maize,0.1,Mini Truck,300.0,4078.0,455.0,43.0,4772.0
149.4,521.0,Tomato,0.85,Pickup,300.0,2092.0,62.0,229.0,2708.0
251.2,5574.0,Groundnut,0.1,Heavy Truck,300.0,5526.0,1120.0,45.0,7162.0
268.1,1751.0,Onion,0.3,Mini Truck,300.0,4558.0,376.0,145.0,5459.0
12.1,3696.0,Sugarcane,0.4,Heavy Truck,300.0,266.0,36.0,9.0,629.0
649.5,937.0,Onion,0.3,Pickup,300.0,9093.0,487.0,351.0,10195.0
11.7,4100.0,Cotton,0.05,Heavy Truck,300.0,257.0,38.0,1.0,619.0
256.1,5295.0,Soybean,0.1,Heavy Truck,300.0,5634.0,1085.0,46.0,6879.0
160.5,4830.0,Rice,0.05,Heavy Truck,300.0,3531.0,620.0,14.0,4662.0
485.0,4116.0,Cauliflower,0.8,Heavy Truck,300.0,10670.0,1597.0,698.0,13863.0
379.4,3273.0,Groundnut,0.1,Mini Truck,300.0,6450.0,993.0,68.0,7933.0
258.5,3838.0,Groundnut,0.1,Heavy Truck,300.0,5687.0,794.0,47.0,6761.0
357.7,5914.0,Onion,0.3,Heavy Truck,300.0,7869.0,1692.0,193.0,10506.0
564.6,3879.0,Carrot,0.5,Heavy Truck,300.0,12421.0,1752.0,508.0,15730.0
258.6,380.0,Tomato,0.85,Pickup,300.0,3620.0,79.0,396.0,4583.0
532.2,6810.0,Cauliflower,0.8,Heavy Truck,300.0,11708.0,2899.0,766.0,15438.0
150.2,3098.0,Maize,0.1,Mini Truck,300.0,2553.0,372.0,27.0,3151.0
544.4,6676.0,Onion,0.3,Heavy Truck,300.0,11977.0,2908.0,294.0,16154.0
345.0,688.0,Onion,0.3,Pickup,300.0,4830.0,190.0,186.0,5614.0
365.4,2649.0,Wheat,0.05,Mini Truck,300.0,6212.0,774.0,33.0,7243.0
100.6,4056.0,Sugarcane,0.4,Heavy Truck,300.0,2213.0,326.0,72.0,2877.0
632.6,1405.0,Wheat,0.05,Mini Truck,300.0,10754.0,711.0,57.0,12206.0
435.4,572.0,Rice,0.05,Pickup,300.0,6096.0,199.0,39.0,6562.0
163.1,2949.0,Tomato,0.85,Mini Truck,300.0,2773.0,385.0,250.0,3708.0
250.0,4066.0,Cabbage,0.6,Heavy Truck,300.0,5500.0,813.0,270.0,6763.0
382.5,4958.0,Cotton,0.05,Heavy Truck,300.0,8415.0,1517.0,34.0,10230.0
292.6,5041.0,Onion,0.3,Heavy Truck,300.0,6437.0,1180.0,158.0,7795.0
98.3,6181.0,Groundnut,0.1,Heavy Truck,300.0,2163.0,486.0,18.0,2852.0
99.1,5413.0,Maize,0.1,Heavy Truck,300.0,2180.0,429.0,18.0,2834.0
334.5,6452.0,Soybean,0.1,Heavy Truck,300.0,7359.0,1727.0,60.0,9257.0
295.9,6465.0,Wheat,0.05,Heavy Truck,300.0,6510.0,1530.0,27.0,8761.0
105.5,6246.0,Potato,0.2,Heavy Truck,300.0,2321.0,527.0,38.0,3068.0
231.9,6222.0,Carrot,0.5,Heavy Truck,300.0,5102.0,1154.0,209.0,6654.0
217.8,1038.0,Rice,0.05,Pickup,300.0,3049.0,181.0,20.0,3660.0
239.4,6799.0,Brinjal,0.75,Heavy Truck,300.0,5267.0,1302.0,323.0,7106.0
618.7,1634.0,Carrot,0.5,Mini Truck,300.0,10518.0,809.0,557.0,11715.0
198.6,1200.0,Onion,0.3,Pickup,300.0,2780.0,191.0,107.0,3545.0
368.4,1062.0,Groundnut,0.1,Pickup,300.0,5158.0,313.0,66.0,5778.0
361.3,4838.0,Onion,0.3,Heavy Truck,300.0,7949.0,1398.0,195.0,10005.0
513.2,6824.0,Green Chilli,0.7,Heavy Truck,300.0,11290.0,2802.0,647.0,15201.0
